Family;Ploidy;He;Pop;Treat;PetalLength;CorollaDiam;CorollaLength;LongFil;ShortFil;Herkogamy;Height;Nstalk;StalkDiam;Nflowers ;Fruitset;Seedset;Fitness
63;4n;0;Ei08;Mount;2,58;5,64;3,27;4,57;3,51;3,51;8;9;0,99;36;0,86111111;0,852459016;0,075623944
152;4n;0,5;Ei08;Mount;2,65;5,19;3,33;4,66;3,82;3,75;5,5;9;0,54;15;0,86666667;0,862745098;0,026834303
152;4n;0,5;Ei08;Mount;2,16;4,81;3,62;4,16;4,47;3,27;8;12;77;27;0,92592593;0,84;0,049258773
63;4n;0;Ei08;Mount;2,27;5,19;3,25;4,69;3,98;3,91;8;4;0,89;15;0,93333333;0,842857143;0,038750235
63;4n;0;Ei08;Mount;1,92;4,21;3,12;4,23;3,18;3,08;8;5;1,13;25;0,92;0,936507937;0,0636611
63;4n;0;Ei08;Mount;1,88;4,06;2,85;3,93;3,13;2,67;8,5;5;0,94;23;0,82608696;0,913580247;0,052767874
63;4n;0;Ei08;Mount;1,92;4,33;2,76;4,31;3,3;2,69;9;4;0,84;19;0,73684211;0,93442623;0,037436667
63;4n;0;Ei08;Mount;2,26;5,11;3,53;4,51;2,65;3,79;10;5;0,65;32;0,625;0,881355932;0,048789642
63;4n;0;Ei08;Mount;1,84;4,16;3,21;4,12;2,97;2,89;6;5;0,79;20;0,7;0,962962963;0,034152749
63;4n;0;Ei08;Mount;1,34;3,91;3,29;3,81;2,8;2,72;5;6;0,86;20;0,75;0,884057971;0,042925502
63;4n;0;Ei08;Mount;2,22;5,21;3,45;4,79;3,89;3,76;7;7;0,83;27;0,81481481;0,870967742;0,055732783
63;4n;0;Ei08;Mount;1,91;3,98;3,07;4,01;2,74;2,77;6;5;0,79;30;0,76666667;0,803030303;0,05718709
158;4n;0;Ei08;Mount;2,49;5,42;3,13;3,94;3,17;2,84;10;4;0,8;NA;NA;0,916666667;0
158;4n;0;Ei08;Mount;1,89;4,29;3,19;3,51;3,01;2,9;12;5;1,17;28;0,78571429;0,763157895;0,059861137
158;4n;0;Ei08;Mount;2,51;4,71;3,78;3,98;2,95;4,75;3,5;2;1;12;0,66666667;0,763157895;0,021767686
158;4n;0;Ei08;Mount;2,26;5,8;3,18;4,5;3,93;3,72;10;5;0,62;29;0,27586207;0,785714286;0,012385063
158;4n;0;Ei08;Mount;2,21;5,71;3,79;5,27;4,44;3,81;7;4;0,8;7;0;NA;0
158;4n;0;Ei08;Mount;1,76;3,52;2,98;3,68;3,05;2,7;8;5;0,39;25;0,76;0,953846154;0,055263652
100;4n;0,5;Ei08;Mount;1,9;4,07;3,15;4,02;3,14;2,48;6;5;0,61;25;0,68;1;0,048648902
100;4n;0,5;Ei08;Mount;2,24;4,73;3,22;4,39;3,81;3,88;6,5;6;0,67;11;0,27272727;0,818181818;0,006333271
100;4n;0,5;Ei08;Mount;0,1;5,2;3,93;4,61;3,92;3,63;13;6;1,16;62;0,80645161;0,925;0,173578533
100;4n;0,5;Ei08;Mount;2,13;4,7;3,13;3,99;3;2,94;9;5;0,63;29;0,62068966;NA;0
100;4n;0,5;Ei08;Mount;2,48;5,4;4,2;4,68;3,38;3,63;14;24;0,85;56;0,91071429;0,87826087;0,120824733
100;4n;0,5;Ei08;Mount;2,55;5,93;4,28;5,08;3,57;3,57;10,5;6;1,21;39;0,79487179;0,858974359;0,097438544
100;4n;0,5;Ei08;Mount;2,61;5,55;4,34;5,07;3,93;4,13;13;4;0,93;18;0,55555556;0,905405405;0,031431788
100;4n;0,5;Ei08;Mount;1,97;4,79;3,09;4,1;3,05;3,04;9;6;0,88;45;0,71111111;0,561403509;0,048039032
100;4n;0,5;Ei08;Mount;2,34;5,76;4,19;4,85;3,77;4,47;12;3;0,97;25;0,28;1;0,009194971
100;4n;0,5;Ei08;Mount;2,71;6,02;3,89;4,48;3,5;3,34;10;3;0,76;23;0,86956522;0,901639344;0,051604429
100;4n;0,5;Ei08;Mount;2,24;4,81;3,37;4,23;3,39;3,69;6;3;0,94;11;0,45454545;0,625;0,004691312
100;4n;0,5;Ei08;Mount;2,49;5,07;3,17;4,14;3,42;3,27;8,5;7;1,26;25;0,64;0,852459016;0,039031713
25;4n;0;Ei08;Mount;1,99;4,75;3,58;4,17;3,5;3,33;10;8;0,62;47;0,89361702;0,912280702;0,102458247
152;4n;0,5;Ei08;Mount;1,8;3,7;2,46;3,3;2,14;2,2;10,5;2;0,94;18;0,94444444;1;0,060611747
140;6n;0,5;Ei18;Mount;2,39;6,1;4,45;5,66;4,52;4,23;10;4;1;18;0,27777778;0,761904762;0,007506099
140;6n;0,5;Ei18;Mount;1,82;4,04;3,62;4,4;3,55;2,79;8,5;5;0,98;35;0,68571429;0,898305085;0,059673485
140;6n;0,5;Ei18;Mount;2,14;4,61;4,15;5,14;3,66;3,33;9,5;4;0,94;40;0,775;0,90625;0,084349784
140;6n;0,5;Ei18;Mount;1,9;4,66;3,7;4,88;4,19;3,6;5,5;3;1,08;40;0,125;0,846153846;0,010320886
140;6n;0,5;Ei18;Mount;2,32;5,17;3,72;4,52;3,72;3,81;7,5;4;1,08;20;0,25;0,969696973;0,010008132
147;4n;0,5;Ei08;Mount;2,35;5,34;4,14;5,15;3,93;3,63;12;10;0,88;41;0,82926829;0,878787879;0,092512667
147;4n;0,5;Ei08;Mount;2,04;5,08;3,3;4,62;3,91;3,65;10,5;11;0,87;44;0,90909091;0,938461538;0,114468005
147;4n;0,5;Ei08;Mount;2,2;4,6;2,68;4,11;3,55;3,13;NA;NA;NA;NA;NA;0,967213115;0
142;4n;0,5;Ei08;Mount;2,11;4,9;3,93;4,52;3,56;3,1;11,5;8;1,25;58;0,68965517;0,901639344;0,103208857
108;4n;0,5;Ei08;Mount;1,58;4,69;2,98;4,7;2;4,04;6;3;1,3;35;0,42857143;0,788461538;0,028851567
108;4n;0,5;Ei08;Mount;1,45;3,64;2,82;3,49;3,26;3,38;6;5;1,16;24;0,25;0,923076923;0,006755489
108;4n;0,5;Ei08;Mount;2,06;5,17;3,13;4,07;3,82;3,67;8;5;2,14;25;0,72;0,760869565;0,029555264
147;4n;0,5;Ei08;Mount;1,56;3,62;2,76;3,66;2,7;2,7;4;6;0,58;12;0,83333333;0,714285714;0,011728279
147;4n;0,5;Ei08;Mount;2;5,26;3,34;4,14;3,02;3,29;9;11;0,88;50;0,54;0,903846154;0,059532745
108;4n;0,5;Ei08;Mount;2,01;4,81;3,44;4,59;4,46;3,52;5,5;10;0,88;16;0,9375;0,865384615;0,031666354
108;4n;0,5;Ei08;Mount;1,49;3,63;3,22;3,42;2,85;2,89;5;13;0,98;16;0,75;0,96969697;0,018014637
108;4n;0,5;Ei08;Mount;1,53;3,61;2,92;3,84;3,39;3,36;6;5;1;28;0,71428571;0,944444444;0,031900919
108;4n;0,5;Ei08;Mount;1,92;5,38;4,72;5,56;4,58;3,85;9;6;1,01;32;0,78125;0,961538462;0,058641396
108;4n;0,5;Ei08;Mount;2,61;6,12;3,72;5,04;4,46;4,15;7;3;1,08;26;0,65384615;0,966666667;0,046256333
108;4n;0,5;Ei08;Mount;2,22;5,21;3,98;4,6;3,12;3,58;6,5;3;1,26;33;0,78787879;0,946428571;0,064646275
88;4n;0,5;Ei08;Mount;1,74;4,73;3,47;3,96;3,15;3,03;5,5;3;1,53;23;0,65217391;0,911764706;0,021814599
88;4n;0,5;Ei08;Mount;2,31;4,66;3,98;5,32;4,21;3,45;7;5;1,18;29;0,75862069;0,947368421;0,037155189
88;4n;0,5;Ei08;Mount;1,96;4,36;3,17;3,93;2,66;3,81;8;4;1,2;25;0,56;1;0,034809533
18;4n;0,5;Ei08;Mount;2,42;5,36;3,87;4,81;3,19;3,5;12;1;1,02;9;0,77777778;0,802816901;0,018718334
18;4n;0,5;Ei08;Mount;1,83;3,89;2,87;3,48;3,41;3,18;7;7;0,84;38;0,68421053;0,783783784;0,07074498
18;4n;0,5;Ei08;Mount;1,9;3,04;2,42;3,67;3,28;3,51;6;9;0,67;28;0,89285714;0,904761905;0,066851192
18;4n;0,5;Ei08;Mount;1,96;4,86;3,03;3,65;3,14;2,64;6,5;13;0,73;35;0,8;0,872340426;0,071808344
33;4n;0;Ei08;Mount;2,27;4,96;4,08;3,63;4,19;4,43;6,5;3;0,82;12;0,75;0,869565217;0,016888722
142;4n;0,5;Ei08;Mount;1,61;3,61;2,29;3,97;1,92;2,34;6,5;5;0,9;33;0,84848485;0,978723404;0,060424095
18;4n;0,5;Ei08;Mount;1,53;3,53;2,91;4,16;3,18;3,53;9,5;13;0,84;22;0,63636364;0,913043478;0,027584913
18;4n;0,5;Ei08;Mount;2,26;5,16;3,5;4,67;3,72;3,37;12;6;0,9;29;0,82758621;0,85483871;0,059673485
18;4n;0,5;Ei08;Mount;2,14;4,64;3,27;4,44;3,52;3,13;8,5;5;0,93;51;0,47058824;0,923076923;0,054043911
18;4n;0,5;Ei08;Mount;2,04;4,83;3,42;3,98;2,97;3,39;8;6;0,88;36;0,36111111;0,939393939;0,037811972
111;4n;0,5;Ei08;Mount;2,4;6,25;4,22;4,79;4,07;3,72;12,5;8;1,16;28;0,89285714;0,971830986;0,080925127
111;4n;0,5;Ei08;Mount;2,34;5,45;4,04;5,28;4,36;4,52;11,5;1;0,92;7;0,85714286;0,846153846;0,02167386
138;6n;0,5;Ei18;Mount;1,99;4,42;4,55;5,63;4,33;5,4;6;6;0,61;29;0,93103448;0,948051948;0,092465753
111;4n;0,5;Ei08;Mount;2,55;5,82;3,96;5,29;4,13;4,3;8,5;10;1,08;31;0,64516129;0,929824561;0,049727904
35;6n;0,5;Ei16;Mount;2,39;5,28;2,2;5,55;3,7;4,34;14;1;1,9;30;0,83333333;0,880952381;0,043394633
45;6n;0,5;Ei16;Mount;1,71;4,88;2,41;4,36;3,76;3,74;9,5;3;1,14;10;0,8;0,859375;0,018348241
28;6n;0;Ei16;Mount;2,11;4,52;4,12;4,05;3,62;3,63;10,5;1;1,33;15;0,93333333;0,978723404;0,030212047
45;6n;0,5;Ei16;Mount;2;5,19;4,12;4,85;3,89;4,04;NA;NA;NA;NA;NA;NA;0
28;6n;0;Ei16;Mount;2,01;4,94;3,85;5,09;3,69;3,59;13,5;2;2,17;22;0,81818182;0,816901408;0,048977294
136;4n;0,5;Ei08;Mount;2,15;4,75;4,34;5,05;4,61;3,87;15;1;1,06;14;0,85714286;0,872340426;0,046162507
71;2n;0,5;Ei12;Mount;1,88;4,68;4,12;4,98;3,99;3,5;3;1;0,94;18;0,66666667;0,886363636;0,021955339
71;2n;0,5;Ei12;Mount;2,08;5,3;3,96;5,06;4,39;3,54;11,5;5;1,58;41;0,7804878;0,911764706;0,093075624
154;6n;0;Ei18;Mount;2,23;5,7;4,55;5,58;4,07;4,24;10;5;1,07;30;0,73333333;NA;0
